,GSM2648568,GSM2648569,GSM2648573,GSM2648575,GSM2648576,GSM2648580,GSM2648583,GSM2648585,GSM2648587,GSM2648590
MRPL37,1555.6730440369201,1553.8608585646211,1563.1537372809735,1535.4868419374804,1510.1004176077017,1539.014074323454,1557.7040923297589,1541.5738101217598,1543.9981989595428,1549.5047560247745
SRSF11,1485.5579326808486,1491.0141840871408,1485.6124021615922,1489.755307036826,1488.5836499150587,1492.230083035324,1487.399022101399,1490.318650217731,1498.904841549816,1504.2076996507392
ACADM,1400.410332008501,1404.9379288789016,1402.4463353592323,1463.9095518453335,1393.6815511184413,1445.8986327658206,1433.3960395775412,1434.5668232833436,1408.4815131170205,1443.1884672048898
RPL17,1527.8682092766176,1522.9995825887675,1532.7503373246616,1527.7088477089865,1525.6058366434227,1547.695752475347,1530.482228367032,1538.0408123727934,1524.3373857122021,1540.4926974042228
LPHN2,1382.1744891725011,1402.2263260057568,1397.692423868653,1434.6197068421052,1438.252392410257,1405.0414249089436,1429.854972939799,1401.7336252954672,1368.7700896292613,1394.4494476675004
SH3GLB1,1347.7295406312503,1373.7078858793493,1384.9121790953036,1422.9451746976272,1449.2851474452773,1416.099285206977,1383.4654896428813,1376.1703812187727,1377.7367881787966,1401.2649453030888
HIAT1,1560.7504962611317,1553.705948997045,1546.8724119542223,1577.7496080388944,1661.6139787559737,1589.8887082935464,1570.6188937235554,1574.7505890608145,1582.966956597333,1571.5004744985038
RTCD1,1443.2271217676453,1462.2805156234817,1453.8384188521493,1466.669485281251,1414.9184326236177,1454.2371453718667,1457.223752036391,1451.1011432406335,1436.2760902865828,1461.846234125768
RPL17,1614.0562153656276,1614.071328631051,1612.5631987006304,1616.5477185056527,1613.8182419346765,1632.1842036174774,1616.0788298650828,1624.7929492726373,1611.8242434638123,1624.4724928685987
SARS,1378.4947394883056,1353.5186453164677,1366.6494639880177,1396.002575617047,1364.7675155785237,1389.3159663100344,1381.89336040666,1362.362533526648,1356.5378496738585,1358.8291662195602
GSTM4,1400.0105972957833,1393.436236206664,1393.2684929855704,1342.3669094406537,1256.2668085701584,1329.4564106897672,1334.3904800812259,1292.383717516667,1274.224213489326,1300.6955716782568
GSTM1,1500.4425749115987,1508.4723552648459,1516.6155179107825,1444.760028596722,1406.4198195224096,1444.8992143832957,1431.6509074734038,1411.5304733734806,1418.1881420990296,1422.7789257913305
AHCYL1,1509.1477565491725,1516.1054213910697,1510.5663298447168,1569.9154005610849,1573.0224172994326,1573.8200841487908,1544.7522188928376,1530.9871365105603,1540.1303186212137,1553.8869294041224
CD53,1704.2319859003446,1702.7303238863099,1704.6538032609385,1709.6889594572654,1705.2748452510994,1710.9167705045732,1730.1344031353235,1722.5232504292462,1714.0919296511797,1722.9619079981362
CEPT1,1333.84245554145,1373.8189272507977,1356.038739017901,1386.095333188861,1349.9469215147965,1358.2459491961718,1377.2634741319546,1360.8696674495375,1350.5713570331493,1350.9101875109654
RAP1A,1360.8754737571282,1381.0270202270342,1381.3850834732607,1403.317153302401,1353.8763581368669,1398.7591711911566,1395.376599795038,1389.0909413708437,1373.0537534268733,1396.521468434625
HIPK1,1460.6730778596789,1460.5216751349858,1460.3832624365298,1455.07310326387,1446.0630094151795,1451.2293198704238,1451.123341384399,1463.4837459671544,1470.9693903792465,1448.0099527812306
ATP1A1,1620.3205511375315,1625.355051203779,1605.2269493439126,1638.6408965416033,1645.7555997991121,1634.470150998574,1628.9524400998514,1627.0323852731444,1637.0762500715098,1634.272850010857
PHGDH,1174.0134588974793,1195.4652360473267,1197.2537137473041,1550.6644192527328,1551.4477421197275,1538.6859479051145,1501.3655710890343,1470.061062582336,1448.3871512469448,1447.6075920774426
SRGAP2,1540.5926413132977,1569.0625594040064,1561.4860344596814,1559.4912704501667,1633.9038674470705,1531.3974398377538,1559.464327858873,1548.416683328689,1536.6864279946537,1546.310504723276
NBPF10,1628.1550777158986,1639.9343720106021,1626.5401366314582,1644.200524004417,1662.6811310175465,1649.5762709828678,1640.1207363508765,1671.5760814177074,1678.802308544544,1689.0089600380347
NBPF16,1354.2511029528791,1373.5159625212907,1349.3577955481046,1363.9592411357496,1375.302817724687,1378.1432617655826,1367.4197482513948,1398.3183485098527,1406.2384707708893,1401.7412089932864
TXNIP,1686.1220868779412,1689.7946895531472,1690.722049396697,1694.5429164038244,1682.7846802759361,1686.2225231377245,1708.5818156934326,1696.2865329343063,1682.499225289418,1695.791611901885
PEX11B,1476.0929812982117,1479.7578791369926,1477.9119418439022,1441.2405307676115,1383.6925096002306,1434.8517100150655,1460.350161006588,1447.2806873253428,1429.3431746447902,1446.5674759724131
NBPF11,1639.9773687399727,1666.7584030615765,1657.656897154185,1664.8609497102473,1661.6332812516612,1669.0669802322197,1666.3347899560606,1695.4022568607563,1690.814894475076,1692.111516893432
