,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
EIF2S1,9.984539,9.909626,9.926044,10.0309,10.24921,9.917913,9.990959,9.837291,10.07755,10.40879,10.07529,10.07741,10.18161,10.28421,10.19516,10.21954,10.0011,10.44446,10.13514,9.834122,10.38151,10.11178,10.23669,10.21358
PSEN1,10.92047,10.78761,10.82583,10.81988,11.01116,10.79535,10.73689,10.68635,10.90511,11.17236,11.00449,10.91409,11.09516,11.00929,10.96057,10.98624,10.77115,11.16198,10.80948,10.68356,11.00981,10.85608,10.84628,10.91618
ACOT2,9.721282,10.05301,10.0275,9.967106,9.954535,10.03079,9.933325,9.881716,9.988028,9.608521,10.09794,10.08419,9.982365,10.00257,10.0759,10.0187,9.877058,9.358292,9.846252,9.74408,9.649902,9.908257,9.697319,9.887784
A,11.48816,11.38663,11.32748,11.43769,11.49437,11.32311,11.43328,11.34456,11.41978,11.37524,11.55382,11.55103,11.56321,11.47802,11.51849,11.5742,11.34587,11.48128,11.3667,11.38197,11.42773,11.32945,11.48864,11.43296
CCNK,10.21774,10.22625,10.15599,10.28714,10.19766,10.11005,10.18014,10.17858,10.18872,10.22701,10.25362,10.21871,10.2694,10.19237,10.34217,10.26673,10.13562,10.07717,10.12196,10.2463,10.09233,10.05095,10.2751,10.2005
DYNC1H1,10.63544,10.07823,10.58468,10.30741,10.33799,10.26551,10.38277,10.10588,10.5125,10.74409,10.55772,10.51994,10.47111,10.52273,10.42694,10.42117,10.38752,10.59412,10.5519,10.38675,10.39286,10.39974,10.36396,10.45877
TNFAIP2,8.425022,10.13864,8.587461,8.747273,10.87062,10.081,8.54506,8.689286,8.188657,11.47753,8.484354,8.416348,9.681717,8.861837,8.265273,8.307397,7.508234,11.51913,9.030376,8.577009,10.44849,9.048444,8.363022,8.177846
EIF5,10.73485,10.93269,10.85953,10.84005,11.06702,10.91582,10.89167,10.89101,11.08003,11.50268,11.15511,11.11171,11.26919,11.0922,11.29974,11.19728,10.93729,11.40055,11.03672,10.90146,11.27831,11.01081,11.06325,11.09318
POTEM,11.17633,11.27469,11.26831,11.20871,11.31674,11.15909,11.10899,10.90755,11.07886,11.16865,11.17628,11.18416,11.29471,11.18491,11.29503,11.22551,11.14673,10.98431,11.14136,11.18483,11.15446,11.2523,11.18833,11.32456
RPPH1,9.902514,10.22618,10.05459,9.997242,10.12826,10.19792,10.3081,9.953218,10.18444,10.21488,10.42931,10.49472,10.56792,10.24714,10.45682,10.45154,10.04038,10.02841,10.2564,10.30886,9.846272,10.03542,9.717936,10.00949
DAD1,12.70961,12.67547,12.71183,12.68785,12.6983,12.65635,12.68633,12.73208,12.72952,12.69341,12.74784,12.73952,12.72344,12.66187,12.69687,12.72326,12.67414,12.59978,12.58915,12.64125,12.68937,12.66068,12.72787,12.73443
RBM23,10.58494,10.58196,10.48924,10.57835,10.53769,10.5131,10.60502,10.55986,10.42906,10.65211,10.48929,10.58518,10.49332,10.42235,10.48959,10.50154,10.53121,10.47395,10.55609,10.37399,10.46728,10.50794,10.59245,10.51946
PRMT5,10.04848,10.37765,10.18964,10.14097,10.43122,10.26459,10.13466,10.0866,10.26673,10.30868,10.34922,10.26973,10.34607,10.35041,10.32945,10.42038,10.21326,10.3311,10.31977,10.22262,10.50528,10.41396,10.2898,10.24319
